"","Informant_ID","informant_pid_1_1","informant_pid_2_1","informant_pid_3_1","informant_pid_4_1","informant_pid_5_1","informant_pid_6_1","informant_pid_7_1","informant_pid_8_1","informant_pid_9_1","informant_pid_10_1","informant_pid_11_1","informant_pid_12_1","informant_pid_13_1","informant_pid_14_1","informant_pid_15_1","informant_pid_16_1","informant_pid_17_1","informant_pid_18_1","informant_pid_19_1","informant_pid_20_1","informant_pid_21_1","informant_pid_22_1","informant_pid_23_1","informant_pid_24_1","informant_pid_25_1"
"11","20108","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very True or Often True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Sometimes or Somewhat False"
"12","20140","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False"
"13","20117","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very True or Often True"
"14","30140","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True"
"15","20109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","40152","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very True or Often True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False"
"17","10164","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"18","30125","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False"
"19","30144","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Very False or Often False"
"20","30182","Sometimes or Somewhat True","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False"
"21","10187","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False"
"22","20177","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Very True or Often True"
"23","30183","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False"
"24","40151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","20188","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False"
"26","30177","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False"
"27","10177","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Very True or Often True"
"28","40176","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False"
"29"," 30187","Very False or Often False","Very False or Often False","Sometimes or Somewhat False",NA,"Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False"
"30","40127","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"31","40203","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very True or Often True","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very True or Often True","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True"
"32","40168","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Sometimes or Somewhat False","Very True or Often True","Very True or Often True","Very True or Often True","Very True or Often True","Very False or Often False","Very True or Often True","Very True or Often True","Very False or Often False"
"33","10176","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very True or Often True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"34","20101","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False"
"35","40182","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False",NA,"Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"36","40187","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"37","20203","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False"
"38","30173","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"39","10211","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False"
"40","40213","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False"
"41","40153","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False"
"42","40112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","30168","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False"
"45","20153","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"46","40211","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"47","10183","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat True","Very False or Often False","Very True or Often True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False"
"48","10182","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False",NA,"Very False or Often False","Very False or Often False"
"49","20182","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False",NA,"Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False"
"50","40188","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False"
"51","20151","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False"
"52","10203","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False"
"53","10153","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Very True or Often True","Sometimes or Somewhat True","Very True or Often True","Very False or Often False","Very False or Often False","Very True or Often True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Sometimes or Somewhat True","Sometimes or Somewhat False","Sometimes or Somewhat True","Very True or Often True","Very False or Often False"
"54","30176","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False"
"55","40204  ","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat True","Sometimes or Somewhat True","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat False","Very False or Often False","Sometimes or Somewhat False","Sometimes or Somewhat False","Very False or Often False","Very False or Often False","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False","Very False or Often False","Sometimes or Somewhat True","Very False or Often False"
